Iteration,IP Source,IP Destination,Flow Label,Is,Number,Timestamp (microseconds),Nº pkt out of order,Out of order packets
1,2001:1:1::1,2001:1:2::1,2,sender,10,1721585733.050748
1,2001:1:1::1,2001:1:2::1,2,receiver,10,1721585733.0379384,0,[]
2,2001:1:1::1,2001:1:3::1,2,sender,10,1721586375.922825
2,2001:1:1::1,2001:1:3::1,2,receiver,10,1721586375.9133327,0,[]
1,2001:1:1::1,2001:1:3::1,2,sender,10,1721586500.378799
1,2001:1:1::1,2001:1:3::1,2,receiver,10,1721586500.3744543,0,[]
