Iteration,Host,IP Source,IP Destination,Flow Label,Is,Number,Timestamp (seconds-Unix Epoch),Nº pkt out of order,Out of order packets,DSCP,Avg Jitter (Nanoseconds)
1,h2_1,2001:1:8::1,2001:1:2::1,1,receiver,11513,1745370498.973974,240,"[108, 268, 313, 388, 454, 490, 515, 659, 721, 731, 733, 737, 740, 777, 783, 803, 847, 890, 909, 990, 1093, 1114, 1157, 1171, 1202, 1260, 1264, 1268, 1322, 1380, 1413, 1511, 1523, 1588, 1600, 1612, 1621, 1803, 1811, 1838, 1848, 1865, 1899, 1927, 1932, 1934, 1975, 2014, 2024, 2119, 2125, 2140, 2147, 2195, 2219, 2224, 2238, 2307, 2325, 2358, 2394, 2441, 2472, 2487, 2520, 2554, 2566, 2599, 2608, 2652, 2695, 2736, 2741, 2744, 2788, 2868, 2952, 3009, 3025, 3054, 3111, 3159, 3262, 3287, 3313, 3377, 3390, 3478, 3508, 3520, 3658, 3673, 3706, 3729, 3755, 3764, 3840, 3912, 3972, 3976, 4017, 4080, 4122, 4171, 4210, 4290, 4303, 4325, 4338, 4342, 4409, 4421, 4428, 4441, 4494, 4501, 4537, 4609, 4728, 4734, 4746, 4762, 4798, 4944, 4979, 4988, 4993, 5003, 5052, 5085, 5127, 5271, 5279, 5352, 5394, 5414, 5438, 5456, 5563, 5588, 5601, 5688, 5705, 5759, 5769, 5780, 5865, 5866, 5886, 5985, 6014, 6056, 6340, 6458, 6467, 6473, 6562, 6581, 6588, 6607, 6616, 6783, 6864, 6896, 6899, 6927, 7083, 7135, 7161, 7321, 7398, 7507, 7511, 7613, 7667, 7689, 7788, 7807, 7809, 7816, 7876, 7943, 8067, 8399, 8419, 8532, 8670, 8687, 8734, 8919, 9061, 9086, 9130, 9160, 9166, 9182, 9192, 9200, 9207, 9213, 9303, 9410, 9501, 9557, 9576, 9839, 9886, 10095, 10100, 10162, 10199, 10282, 10372, 10426, 10433, 10470, 10581, 10591, 10648, 10655, 10658, 10671, 10712, 10866, 10932, 10972, 10992, 11068, 11110, 11128, 11155, 11221, 11273, 11317, 11436, 11501, 11529, 11556, 11560, 11575]",34,26051652.179877996
1,h8_3,2001:1:3::1,2001:1:8::3,1,receiver,11422,1745370498.9658983,205,"[25, 163, 260, 270, 382, 429, 491, 528, 585, 595, 782, 812, 856, 926, 956, 993, 1001, 1000, 1032, 1119, 1196, 1209, 1277, 1317, 1389, 1403, 1487, 1504, 1554, 1598, 1608, 1658, 1681, 1692, 1716, 1772, 1801, 1854, 1864, 1901, 2050, 2183, 2191, 2204, 2330, 2363, 2441, 2463, 2520, 2585, 2720, 2729, 2751, 2763, 2776, 2829, 2886, 2916, 2956, 3070, 3119, 3141, 3163, 3174, 3234, 3254, 3400, 3457, 3549, 3581, 3603, 3619, 3656, 3727, 3746, 3786, 3984, 4206, 4334, 4394, 4595, 4622, 4647, 4735, 4773, 4840, 4861, 5005, 5150, 5276, 5278, 5436, 5456, 5511, 5541, 5572, 5614, 5672, 5783, 5809, 5853, 5860, 5969, 6092, 6180, 6192, 6370, 6426, 6495, 6503, 6527, 6632, 6647, 6650, 6688, 6724, 6768, 6842, 6888, 6914, 6919, 7094, 7106, 7152, 7159, 7224, 7326, 7368, 7371, 7374, 7415, 7472, 7478, 7767, 7801, 7872, 7891, 7947, 7997, 8008, 8095, 8106, 8129, 8211, 8222, 8233, 8269, 8292, 8362, 8380, 8441, 8443, 8455, 8503, 8505, 8644, 8670, 8695, 8698, 8704, 8795, 8894, 9028, 9041, 9141, 9243, 9332, 9405, 9471, 9577, 9614, 9668, 9793, 9899, 10121, 10219, 10228, 10247, 10260, 10270, 10276, 10427, 10468, 10484, 10508, 10517, 10549, 10656, 10736, 10753, 10772, 10905, 10925, 10936, 11022, 11074, 11195, 11223, 11294, 11327, 11418, 11476, 11522, 11575, 11581]",35,26259156.330477983
1,h2_2,2001:1:5::1,2001:1:2::2,1,receiver,11455,1745370498.9539876,203,"[33, 78, 165, 208, 212, 257, 289, 294, 303, 327, 331, 335, 362, 427, 457, 484, 536, 566, 789, 791, 813, 871, 895, 1089, 1092, 1097, 1105, 1181, 1185, 1208, 1236, 1237, 1247, 1443, 1496, 1561, 1572, 1588, 1723, 1758, 1763, 1771, 1828, 1862, 1976, 1994, 2068, 2131, 2133, 2142, 2212, 2224, 2276, 2308, 2342, 2380, 2441, 2550, 2639, 2643, 2697, 2746, 2751, 2753, 2911, 2934, 3031, 3058, 3264, 3341, 3371, 3398, 3436, 3491, 3554, 3591, 3599, 3623, 3706, 3747, 3823, 3845, 3877, 3957, 4297, 4306, 4409, 4445, 4450, 4458, 4621, 4671, 4791, 4875, 4881, 4928, 4978, 4987, 5063, 5086, 5349, 5455, 5517, 5597, 5681, 5687, 5880, 5952, 5965, 5977, 6034, 6112, 6183, 6229, 6269, 6293, 6362, 6407, 6427, 6565, 6645, 6702, 6723, 6744, 6751, 6802, 6830, 6910, 6941, 7048, 7131, 7167, 7198, 7232, 7238, 7250, 7255, 7277, 7418, 7427, 7455, 7479, 7549, 7552, 7557, 7583, 7633, 7684, 7690, 7836, 7873, 7941, 8004, 8037, 8040, 8059, 8061, 8067, 8072, 8126, 8259, 8317, 8342, 8375, 8390, 8622, 8699, 8765, 8915, 9083, 9091, 9186, 9204, 9210, 9369, 9414, 9484, 9656, 9726, 9971, 10076, 10156, 10234, 10298, 10354, 10433, 10459, 10652, 10720, 10742, 10798, 10812, 10958, 11009, 11050, 11059, 11073, 11161, 11265, 11267, 11342, 11452, 11487]",35,26184310.66748673
1,h5_1,2001:1:3::1,2001:1:5::1,1,receiver,11461,1745370498.9593534,206,"[122, 143, 153, 310, 416, 442, 450, 489, 510, 563, 756, 840, 857, 911, 929, 1021, 1060, 1070, 1073, 1115, 1142, 1307, 1317, 1322, 1356, 1472, 1567, 1581, 1601, 1609, 1641, 1673, 1693, 1769, 1961, 2112, 2122, 2250, 2302, 2346, 2382, 2465, 2531, 2585, 2667, 2673, 2704, 2764, 2793, 2829, 2852, 2911, 3334, 3349, 3422, 3480, 3662, 3667, 3672, 3694, 3711, 3737, 3740, 3837, 3854, 3858, 3888, 3937, 4093, 4099, 4152, 4204, 4210, 4218, 4300, 4324, 4373, 4415, 4451, 4576, 4583, 4608, 4640, 4646, 4654, 4661, 4854, 4869, 4918, 4932, 5090, 5097, 5118, 5131, 5163, 5341, 5530, 5541, 5560, 5652, 5709, 5723, 5750, 5786, 5831, 5886, 6007, 6109, 6136, 6152, 6226, 6372, 6410, 6467, 6569, 6591, 6600, 6612, 6685, 6744, 6796, 6905, 6906, 7101, 7111, 7232, 7285, 7314, 7363, 7365, 7381, 7418, 7486, 7585, 7643, 7645, 7723, 7751, 7752, 7858, 7933, 7981, 8065, 8099, 8110, 8149, 8210, 8258, 8266, 8350, 8357, 8504, 8518, 8609, 8626, 8648, 8694, 8746, 8818, 8999, 9042, 9082, 9154, 9162, 9180, 9213, 9252, 9437, 9474, 9587, 9595, 9698, 9790, 9822, 9908, 9920, 9945, 9953, 10021, 10032, 10064, 10125, 10144, 10160, 10223, 10230, 10279, 10295, 10311, 10341, 10408, 10479, 10594, 10640, 10665, 10758, 10795, 10912, 10934, 11038, 11063, 11175, 11210, 11242, 11372, 11551]",34,26174309.44902905
1,h1_1,2001:1:8::1,2001:1:1::1,1,receiver,2966,1745370498.8964453,14,"[123, 293, 802, 1142, 1162, 1237, 1346, 2047, 2147, 2325, 2379, 2466, 2554, 2701]",0,24231155.41865837
1,h3_1,2001:1:2::1,2001:1:3::1,1,receiver,2962,1745370498.9162602,9,"[291, 296, 1044, 1136, 1180, 1234, 1268, 2394, 2957]",0,24440427.232158903
1,h8_2,2001:1:2::2,2001:1:8::2,1,receiver,11468,1745370498.999305,407,"[8, 24, 49, 54, 66, 104, 170, 169, 204, 233, 252, 255, 306, 347, 356, 388, 401, 425, 447, 500, 508, 552, 568, 596, 653, 664, 695, 751, 757, 795, 810, 813, 822, 833, 891, 961, 972, 1020, 1043, 1050, 1054, 1056, 1067, 1073, 1078, 1081, 1103, 1212, 1213, 1232, 1241, 1244, 1251, 1275, 1283, 1302, 1301, 1363, 1466, 1468, 1470, 1500, 1508, 1510, 1543, 1552, 1581, 1600, 1611, 1720, 1722, 1747, 1805, 1810, 1852, 1864, 1869, 1879, 1948, 1967, 2003, 2029, 2105, 2117, 2167, 2170, 2173, 2182, 2220, 2228, 2240, 2243, 2260, 2271, 2303, 2311, 2367, 2371, 2376, 2442, 2469, 2471, 2496, 2508, 2555, 2566, 2589, 2610, 2670, 2672, 2728, 2731, 2745, 2747, 2748, 2764, 2803, 2862, 2882, 2889, 2978, 2996, 3017, 3025, 3065, 3113, 3159, 3189, 3197, 3199, 3300, 3339, 3387, 3428, 3452, 3518, 3555, 3592, 3601, 3622, 3686, 3742, 3745, 3774, 3809, 3860, 3880, 3969, 3977, 3987, 4016, 4020, 4041, 4084, 4107, 4115, 4131, 4137, 4156, 4178, 4205, 4231, 4284, 4287, 4318, 4411, 4455, 4465, 4594, 4620, 4690, 4721, 4736, 4933, 5081, 5172, 5191, 5219, 5227, 5242, 5251, 5253, 5255, 5260, 5292, 5300, 5305, 5318, 5351, 5377, 5393, 5412, 5507, 5568, 5707, 5715, 5726, 5733, 5751, 5845, 5911, 5928, 5932, 5946, 5984, 6002, 6006, 6010, 6024, 6087, 6121, 6133, 6143, 6150, 6158, 6163, 6199, 6302, 6322, 6332, 6378, 6393, 6423, 6445, 6478, 6514, 6520, 6540, 6543, 6550, 6560, 6631, 6637, 6639, 6666, 6688, 6690, 6736, 6741, 6761, 6793, 6862, 6891, 6919, 6938, 6953, 6957, 6985, 7027, 7029, 7056, 7122, 7157, 7176, 7249, 7251, 7267, 7279, 7293, 7298, 7363, 7396, 7410, 7415, 7441, 7466, 7518, 7534, 7542, 7573, 7579, 7581, 7602, 7615, 7665, 7671, 7679, 7739, 7758, 7770, 7783, 7870, 7933, 7938, 7969, 7972, 8009, 8094, 8118, 8129, 8162, 8269, 8283, 8285, 8339, 8360, 8363, 8371, 8407, 8419, 8442, 8473, 8483, 8506, 8531, 8562, 8585, 8728, 8736, 8769, 8797, 8856, 8878, 9050, 9089, 9102, 9124, 9131, 9188, 9199, 9214, 9218, 9223, 9276, 9320, 9323, 9377, 9389, 9470, 9483, 9501, 9549, 9551, 9556, 9576, 9678, 9687, 9703, 9723, 9724, 9771, 9778, 9799, 9807, 9840, 9856, 9861, 9881, 9890, 9912, 9918, 9926, 9961, 9968, 9980, 9982, 10010, 10092, 10151, 10160, 10199, 10230, 10236, 10296, 10310, 10321, 10408, 10435, 10443, 10499, 10551, 10640, 10701, 10705, 10708, 10709, 10714, 10718, 10747, 10759, 10763, 10781, 10791, 10793, 10811, 10907, 10923, 10932, 10999, 11012, 11043, 11051, 11083, 11114, 11217, 11243, 11289, 11291, 11303, 11317, 11359, 11464, 11506, 11522, 11530, 11550, 11570]",35,26157387.778199274
1,h7_2,2001:1:5::1,2001:1:7::2,1,receiver,11388,1745370498.9308228,35,"[204, 362, 440, 714, 873, 876, 1172, 1196, 1732, 1823, 2215, 2766, 3127, 3942, 4015, 4431, 4810, 4936, 5065, 5087, 5144, 5505, 5709, 7099, 7122, 7201, 7694, 7803, 8103, 8435, 8526, 8654, 9695, 9844, 10889]",34,26337322.9978459
1,h7_1,2001:1:1::2,2001:1:7::1,1,receiver,11435,1745370498.9558673,56,"[195, 394, 463, 715, 717, 792, 1069, 1294, 1530, 1768, 2124, 2200, 2376, 2742, 2850, 2936, 3081, 3168, 3319, 4081, 4168, 4311, 4565, 4777, 4828, 4886, 4890, 5371, 5518, 5531, 5942, 6072, 6158, 6350, 6437, 6592, 6767, 6988, 7380, 8141, 8408, 8664, 8710, 9194, 9241, 9312, 9569, 9576, 9597, 10031, 10115, 10537, 10906, 11002, 11074, 11454]",34,26228286.003409706
2,h8_1,2001:1:8::1,2001:1:1::1,1,sender,3000,1745370844.892192,,,0,
