Iteration,Host,IP Source,IP Destination,Flow Label,Is,Number,Timestamp (seconds-Unix Epoch),Nº pkt out of order,Out of order packets,DSCP,Avg Jitter (Nanoseconds)
2,h8_3,2001:1:3::1,2001:1:8::3,1,receiver,9077,1745363892.7831504,47,"[1, 61, 164, 256, 449, 462, 553, 555, 572, 750, 753, 756, 759, 881, 897, 1145, 1148, 1153, 1152, 1263, 1478, 1571, 1684, 1726, 1767, 1928, 1978, 2112, 2128, 2250, 2296, 2633, 2691, 3128, 3786, 3796, 3852, 3910, 4487, 4919, 4949, 5405, 7001, 7742, 7804, 8146, 8270]",35,33049028.74479154
2,h1_1,2001:1:8::1,2001:1:1::1,1,receiver,2957,1745363892.7593405,9,"[559, 1162, 1165, 1166, 1741, 1945, 1944, 2326, 2391]",0,27984027.407803893
3,h2_1,2001:1:2::1,2001:1:3::1,1,sender,3000,1745364238.770188,,,0,
3,h8_1,2001:1:8::1,2001:1:1::1,1,sender,3000,1745364238.774996,,,0,
3,h2_2,2001:1:2::2,2001:1:8::2,1,sender,15000,1745364238.766039,,,35,
3,h5_1,2001:1:5::1,2001:1:7::2,1,sender,30000,1745364238.768899,,,34,
3,h3_1,2001:1:3::1,2001:1:8::3,1,sender,15000,1745364238.766897,,,35,
3,h1_2,2001:1:1::2,2001:1:7::1,1,sender,30000,1745364238.776749,,,34,
3,h3_1,2001:1:3::1,2001:1:7::3,1,sender,15000,1745364238.778639,,,35,
3,h7_3,2001:1:3::1,2001:1:7::3,1,receiver,9153,1745364238.9074264,6,"[953, 1021, 1408, 1411, 1629, 8622]",35,32771598.338091034
3,h7_1,2001:1:1::2,2001:1:7::1,1,receiver,9182,1745364238.9244292,17,"[1016, 2234, 2352, 2531, 2590, 2628, 2734, 2780, 2872, 2953, 4182, 4831, 5154, 5156, 7315, 7501, 8772]",34,32668054.636151474
3,h7_2,2001:1:5::1,2001:1:7::2,1,receiver,9239,1745364238.906061,7,"[645, 1033, 1425, 2035, 2229, 4179, 7820]",34,32466814.262240607
3,h8_2,2001:1:2::2,2001:1:8::2,1,receiver,9165,1745364238.9775412,103,"[105, 117, 360, 403, 431, 472, 489, 594, 636, 637, 653, 760, 837, 1009, 1022, 1109, 1112, 1181, 1195, 1209, 1270, 1346, 1355, 1410, 1412, 1478, 1531, 1777, 1854, 1878, 1914, 1926, 1952, 1992, 2013, 2017, 2039, 2084, 2160, 2165, 2170, 2196, 2213, 2284, 2311, 2331, 2365, 2412, 2591, 2623, 2648, 2650, 2652, 2746, 2756, 2791, 2858, 2872, 2975, 2981, 3027, 3092, 3317, 3426, 3545, 3620, 3751, 3773, 3922, 4168, 4244, 4254, 4482, 4513, 4690, 4834, 4836, 5128, 5151, 5600, 5604, 5702, 5722, 5932, 5970, 6020, 6117, 6172, 6323, 6435, 6460, 6541, 6558, 6873, 6898, 7282, 7412, 7731, 7795, 8135, 8249, 8823, 9286]",35,32726936.397562757
3,h1_1,2001:1:8::1,2001:1:1::1,1,receiver,2962,1745364238.9190586,6,"[216, 489, 1566, 1790, 2020, 2864]",0,27912709.53750868
3,h3_1,2001:1:2::1,2001:1:3::1,1,receiver,2970,1745364238.8584692,3,"[1028, 1648, 2039]",0,27577776.298779823
3,h8_3,2001:1:3::1,2001:1:8::3,1,receiver,9172,1745364238.942262,39,"[48, 139, 462, 505, 742, 1011, 1118, 1120, 1165, 1350, 1374, 1396, 1395, 1411, 1471, 1489, 1838, 1995, 2182, 2185, 2340, 2669, 2753, 3003, 3578, 4150, 4153, 4174, 4236, 4804, 4810, 5662, 5859, 6038, 6108, 6533, 7738, 8111, 8738]",35,32703577.666317977
4,h2_1,2001:1:2::1,2001:1:3::1,1,sender,3000,1745364584.849968,,,0,
4,h8_1,2001:1:8::1,2001:1:1::1,1,sender,3000,1745364584.850372,,,0,
4,h3_1,2001:1:3::1,2001:1:8::3,1,sender,15000,1745364584.851597,,,35,
4,h5_1,2001:1:5::1,2001:1:7::2,1,sender,30000,1745364584.866341,,,34,
4,h2_2,2001:1:2::2,2001:1:8::2,1,sender,15000,1745364584.869102,,,35,
4,h1_2,2001:1:1::2,2001:1:7::1,1,sender,30000,1745364584.851467,,,34,
4,h3_1,2001:1:3::1,2001:1:7::3,1,sender,15000,1745364584.8783,,,35,
4,h7_1,2001:1:1::2,2001:1:7::1,1,receiver,9257,1745364585.012126,7,"[1513, 1767, 3839, 3982, 4882, 4995, 7082]",34,32405020.493442174
4,h8_3,2001:1:3::1,2001:1:8::3,1,receiver,9117,1745364585.027361,34,"[100, 530, 758, 845, 988, 1395, 1514, 1573, 1807, 1915, 2082, 2172, 2180, 2519, 2554, 2572, 2656, 2908, 3491, 4039, 4202, 5211, 5661, 6051, 6224, 6231, 6771, 6814, 7762, 8080, 8120, 8242, 8292, 8991]",35,32891960.249693077
4,h7_3,2001:1:3::1,2001:1:7::3,1,receiver,9150,1745364584.9899733,7,"[212, 858, 1976, 3925, 5576, 5948, 7700]",35,32786545.85770569
4,h8_2,2001:1:2::2,2001:1:8::2,1,receiver,8923,1745364585.0618205,53,"[24, 80, 250, 402, 414, 467, 495, 516, 702, 718, 766, 784, 1236, 1335, 1439, 1500, 1626, 1717, 1942, 1978, 2016, 2237, 2320, 2455, 2470, 2544, 2720, 2781, 2785, 2823, 3474, 3714, 3826, 3831, 4117, 4488, 4515, 4705, 4996, 4998, 5224, 5345, 5830, 6237, 6820, 6955, 7008, 7621, 7907, 7932, 7941, 8739, 8789]",35,33606230.48450801
4,h3_1,2001:1:2::1,2001:1:3::1,1,receiver,2959,1745364584.9555812,0,[],0,27766908.49221691
4,h1_1,2001:1:8::1,2001:1:1::1,1,receiver,2969,1745364585.0039556,1,[2265],0,27710691.37043887
4,h7_2,2001:1:5::1,2001:1:7::2,1,receiver,9229,1745364584.990805,2,"[647, 878]",34,32501342.069522683
5,h2_1,2001:1:2::1,2001:1:3::1,1,sender,3000,1745364930.947871,,,0,
